period,observed_days,origin,destination,origin_gangwon,destination_gangwon,daily_trips,period_trips
평일,5,춘천시,춘천시,True,True,35074.4,175372
평일,5,춘천시,원주시,True,True,521.6,2608
평일,5,춘천시,강릉시,True,True,94.4,472
평일,5,춘천시,동해시,True,True,16.2,81
평일,5,춘천시,태백시,True,True,7.8,39
평일,5,춘천시,속초시,True,True,83.0,415
평일,5,춘천시,삼척시,True,True,14.0,70
평일,5,춘천시,홍천군,True,True,1146.2,5731
평일,5,춘천시,횡성군,True,True,155.0,775
평일,5,춘천시,영월군,True,True,18.8,94
평일,5,춘천시,평창군,True,True,37.6,188
평일,5,춘천시,정선군,True,True,20.0,100
평일,5,춘천시,철원군,True,True,67.0,335
평일,5,춘천시,화천군,True,True,516.0,2580
평일,5,춘천시,양구군,True,True,220.6,1103
평일,5,춘천시,인제군,True,True,230.4,1152
평일,5,춘천시,고성군,True,True,35.6,178
평일,5,춘천시,양양군,True,True,102.8,514
평일,5,원주시,춘천시,True,True,519.8,2599
평일,5,원주시,원주시,True,True,45586.6,227933
평일,5,원주시,강릉시,True,True,251.8,1259
평일,5,원주시,동해시,True,True,41.8,209
평일,5,원주시,태백시,True,True,51.8,259
평일,5,원주시,속초시,True,True,43.2,216
평일,5,원주시,삼척시,True,True,28.0,140
평일,5,원주시,홍천군,True,True,318.6,1593
평일,5,원주시,횡성군,True,True,1414.0,7070
평일,5,원주시,영월군,True,True,264.6,1323
평일,5,원주시,평창군,True,True,333.8,1669
평일,5,원주시,정선군,True,True,131.6,658
평일,5,원주시,철원군,True,True,15.2,76
평일,5,원주시,화천군,True,True,24.6,123
평일,5,원주시,양구군,True,True,17.0,85
평일,5,원주시,인제군,True,True,68.6,343
평일,5,원주시,고성군,True,True,18.8,94
평일,5,원주시,양양군,True,True,30.0,150
평일,5,강릉시,춘천시,True,True,87.8,439
평일,5,강릉시,원주시,True,True,213.0,1065
평일,5,강릉시,강릉시,True,True,23945.6,119728
평일,5,강릉시,동해시,True,True,589.6,2948
평일,5,강릉시,태백시,True,True,42.2,211
평일,5,강릉시,속초시,True,True,277.8,1389
평일,5,강릉시,삼척시,True,True,197.2,986
평일,5,강릉시,홍천군,True,True,70.6,353
평일,5,강릉시,횡성군,True,True,134.8,674
평일,5,강릉시,영월군,True,True,13.0,65
평일,5,강릉시,평창군,True,True,481.4,2407
평일,5,강릉시,정선군,True,True,91.0,455
평일,5,강릉시,철원군,True,True,2.8,14
평일,5,강릉시,화천군,True,True,6.2,31
평일,5,강릉시,양구군,True,True,4.8,24
평일,5,강릉시,인제군,True,True,72.2,361
평일,5,강릉시,고성군,True,True,73.2,366
평일,5,강릉시,양양군,True,True,538.6,2693
평일,5,동해시,춘천시,True,True,20.2,101
평일,5,동해시,원주시,True,True,38.6,193
평일,5,동해시,강릉시,True,True,509.8,2549
평일,5,동해시,동해시,True,True,4617.8,23089
평일,5,동해시,태백시,True,True,41.0,205
평일,5,동해시,속초시,True,True,22.0,110
평일,5,동해시,삼척시,True,True,650.6,3253
평일,5,동해시,홍천군,True,True,8.6,43
평일,5,동해시,횡성군,True,True,19.6,98
평일,5,동해시,영월군,True,True,8.2,41
평일,5,동해시,평창군,True,True,41.8,209
평일,5,동해시,정선군,True,True,36.4,182
평일,5,동해시,철원군,True,True,0.8,4
평일,5,동해시,화천군,True,True,0.4,2
평일,5,동해시,양구군,True,True,1.4,7
평일,5,동해시,인제군,True,True,8.6,43
평일,5,동해시,고성군,True,True,8.0,40
평일,5,동해시,양양군,True,True,35.8,179
평일,5,태백시,춘천시,True,True,7.6,38
평일,5,태백시,원주시,True,True,53.8,269
평일,5,태백시,강릉시,True,True,44.0,220
평일,5,태백시,동해시,True,True,36.4,182
평일,5,태백시,태백시,True,True,2050.6,10253
평일,5,태백시,속초시,True,True,2.6,13
평일,5,태백시,삼척시,True,True,99.0,495
평일,5,태백시,홍천군,True,True,1.6,8
평일,5,태백시,횡성군,True,True,2.2,11
평일,5,태백시,영월군,True,True,57.6,288
평일,5,태백시,평창군,True,True,9.4,47
평일,5,태백시,정선군,True,True,207.2,1036
평일,5,태백시,철원군,True,True,0.6,3
평일,5,태백시,화천군,True,True,0.0,0
평일,5,태백시,양구군,True,True,0.0,0
평일,5,태백시,인제군,True,True,0.2,1
평일,5,태백시,고성군,True,True,0.6,3
평일,5,태백시,양양군,True,True,3.4,17
평일,5,속초시,춘천시,True,True,87.2,436
평일,5,속초시,원주시,True,True,40.2,201
평일,5,속초시,강릉시,True,True,303.4,1517
평일,5,속초시,동해시,True,True,27.0,135
평일,5,속초시,태백시,True,True,2.8,14
평일,5,속초시,속초시,True,True,10817.6,54088
평일,5,속초시,삼척시,True,True,13.2,66
평일,5,속초시,홍천군,True,True,109.8,549
평일,5,속초시,횡성군,True,True,10.4,52
평일,5,속초시,영월군,True,True,1.6,8
평일,5,속초시,평창군,True,True,25.0,125
평일,5,속초시,정선군,True,True,8.4,42
평일,5,속초시,철원군,True,True,3.8,19
